example_id                                                             | status  | run_time        |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:2:1]         | passed  | 0.01722 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:3:1]         | passed  | 0.01879 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:1:1]         | passed  | 0.01186 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:2:1]         | passed  | 0.01087 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:2:1]             | passed  | 0.00466 seconds |
./spec/controllers/users_controller_spec.rb[1:1:1]                     | passed  | 0.00693 seconds |
./spec/controllers/users_controller_spec.rb[1:2:1]                     | passed  | 0.01031 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:1]                 | passed  | 0.01448 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:2]                 | passed  | 0.01401 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:3]                 | passed  | 0.01422 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:2:1]                 | passed  | 0.01257 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:3:1:1]               | passed  | 0.01443 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:3:2:1]               | passed  | 0.01448 seconds |
./spec/controllers/users_controller_spec.rb[1:3:2]                     | passed  | 0.01636 seconds |
./spec/helpers/checkout_helper_spec.rb[1:1:1]                          | passed  | 0.00262 seconds |
./spec/helpers/checkout_helper_spec.rb[1:1:2]                          | passed  | 0.00255 seconds |
./spec/helpers/order_helper_spec.rb[1:1]                               | passed  | 0.0034 seconds  |
./spec/helpers/spree/base_helper_spec.rb[1:1]                          | passed  | 0.02903 seconds |
./spec/helpers/taxon_filters_helper_spec.rb[1:1]                       | passed  | 0.00404 seconds |
./spec/helpers/taxons_helper_spec.rb[1:1:1]                            | passed  | 0.02535 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:1]                          | passed  | 0.02067 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:2]                          | passed  | 0.01979 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:2:1]                          | passed  | 0.02073 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:2:1]                            | passed  | 0.02273 seconds |
./spec/requests/cart_line_items_ability_spec.rb[1:1:1:1]               | passed  | 0.09951 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:1]                         | passed  | 0.14128 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:1]                       | passed  | 0.11895 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:2:1]                     | passed  | 0.07453 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:3:1]                     | passed  | 0.13538 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:4:1]                     | passed  | 0.23904 seconds |
./spec/requests/carts_ability_spec.rb[1:1:1:1]                         | passed  | 0.0269 seconds  |
./spec/requests/carts_ability_spec.rb[1:1:2:1]                         | passed  | 0.02788 seconds |
./spec/requests/carts_ability_spec.rb[1:1:3:1]                         | passed  | 0.02672 seconds |
./spec/requests/carts_spec.rb[1:1:1:1]                                 | passed  | 0.02921 seconds |
./spec/requests/carts_spec.rb[1:1:2:1]                                 | passed  | 0.03886 seconds |
./spec/requests/carts_spec.rb[1:2:1:1]                                 | passed  | 0.12345 seconds |
./spec/requests/carts_spec.rb[1:2:1:2]                                 | passed  | 0.1525 seconds  |
./spec/requests/carts_spec.rb[1:2:1:3]                                 | passed  | 0.15165 seconds |
./spec/requests/carts_spec.rb[1:3:1]                                   | passed  | 0.14109 seconds |
./spec/requests/carts_spec.rb[1:4:1]                                   | passed  | 0.15329 seconds |
